"Configuration","Establishment_date","Establishment_rate","Coverage","Effect","EI_prioritization","EI_ID","Scenario_end","Step_length","Scenario_ID","Time_step","Target_classes","Prob_perturb_threshold"
"Large_patches","2020","Steady","0.22","Preservation","Agri_unproductive",1,"2060",5,"BAU","2020, 2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Small_patches","2020","Steady","0.22","Preservation","Agri_unproductive",2,"2060",5,"BAU","2020, 2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Connectivity","2020","Steady","0.22","Preservation","Agri_unproductive",3,"2060",5,"BAU","2020, 2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Large_patches","2025","Steady","0.22","Preservation","Agri_unproductive",4,"2060",5,"BAU","2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Small_patches","2025","Steady","0.22","Preservation","Agri_unproductive",5,"2060",5,"BAU","2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Connectivity","2025","Steady","0.22","Preservation","Agri_unproductive",6,"2060",5,"BAU","2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Large_patches","2030","Steady","0.22","Preservation","Agri_unproductive",7,"2060",5,"BAU","2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Small_patches","2030","Steady","0.22","Preservation","Agri_unproductive",8,"2060",5,"BAU","2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Connectivity","2030","Steady","0.22","Preservation","Agri_unproductive",9,"2060",5,"BAU","2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Large_patches","2035","Steady","0.22","Preservation","Agri_unproductive",10,"2060",5,"BAU","2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Small_patches","2035","Steady","0.22","Preservation","Agri_unproductive",11,"2060",5,"BAU","2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Connectivity","2035","Steady","0.22","Preservation","Agri_unproductive",12,"2060",5,"BAU","2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Large_patches","2020","Rapid","0.22","Preservation","Agri_unproductive",13,"2060",5,"BAU","2020, 2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Small_patches","2020","Rapid","0.22","Preservation","Agri_unproductive",14,"2060",5,"BAU","2020, 2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Connectivity","2020","Rapid","0.22","Preservation","Agri_unproductive",15,"2060",5,"BAU","2020, 2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Large_patches","2025","Rapid","0.22","Preservation","Agri_unproductive",16,"2060",5,"BAU","2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Small_patches","2025","Rapid","0.22","Preservation","Agri_unproductive",17,"2060",5,"BAU","2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Connectivity","2025","Rapid","0.22","Preservation","Agri_unproductive",18,"2060",5,"BAU","2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Large_patches","2030","Rapid","0.22","Preservation","Agri_unproductive",19,"2060",5,"BAU","2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Small_patches","2030","Rapid","0.22","Preservation","Agri_unproductive",20,"2060",5,"BAU","2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Connectivity","2030","Rapid","0.22","Preservation","Agri_unproductive",21,"2060",5,"BAU","2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Large_patches","2035","Rapid","0.22","Preservation","Agri_unproductive",22,"2060",5,"BAU","2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Small_patches","2035","Rapid","0.22","Preservation","Agri_unproductive",23,"2060",5,"BAU","2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Connectivity","2035","Rapid","0.22","Preservation","Agri_unproductive",24,"2060",5,"BAU","2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Large_patches","2020","Lagged","0.22","Preservation","Agri_unproductive",25,"2060",5,"BAU","2020, 2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Small_patches","2020","Lagged","0.22","Preservation","Agri_unproductive",26,"2060",5,"BAU","2020, 2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Connectivity","2020","Lagged","0.22","Preservation","Agri_unproductive",27,"2060",5,"BAU","2020, 2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Large_patches","2025","Lagged","0.22","Preservation","Agri_unproductive",28,"2060",5,"BAU","2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Small_patches","2025","Lagged","0.22","Preservation","Agri_unproductive",29,"2060",5,"BAU","2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Connectivity","2025","Lagged","0.22","Preservation","Agri_unproductive",30,"2060",5,"BAU","2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Large_patches","2030","Lagged","0.22","Preservation","Agri_unproductive",31,"2060",5,"BAU","2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Small_patches","2030","Lagged","0.22","Preservation","Agri_unproductive",32,"2060",5,"BAU","2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Connectivity","2030","Lagged","0.22","Preservation","Agri_unproductive",33,"2060",5,"BAU","2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Large_patches","2035","Lagged","0.22","Preservation","Agri_unproductive",34,"2060",5,"BAU","2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Small_patches","2035","Lagged","0.22","Preservation","Agri_unproductive",35,"2060",5,"BAU","2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Connectivity","2035","Lagged","0.22","Preservation","Agri_unproductive",36,"2060",5,"BAU","2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Large_patches","2020","Steady","0.25","Preservation","Agri_unproductive",37,"2060",5,"BAU","2020, 2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Small_patches","2020","Steady","0.25","Preservation","Agri_unproductive",38,"2060",5,"BAU","2020, 2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Connectivity","2020","Steady","0.25","Preservation","Agri_unproductive",39,"2060",5,"BAU","2020, 2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Large_patches","2025","Steady","0.25","Preservation","Agri_unproductive",40,"2060",5,"BAU","2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Small_patches","2025","Steady","0.25","Preservation","Agri_unproductive",41,"2060",5,"BAU","2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Connectivity","2025","Steady","0.25","Preservation","Agri_unproductive",42,"2060",5,"BAU","2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Large_patches","2030","Steady","0.25","Preservation","Agri_unproductive",43,"2060",5,"BAU","2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Small_patches","2030","Steady","0.25","Preservation","Agri_unproductive",44,"2060",5,"BAU","2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
